Unique ID,Date,Start time,location,Venue,Game type,Total buy in,Prize pool,rake,Guarantee
4609,,9:00am (10:30am),Las Vegas,Horseshoe Las Vegas,NLH,$75,$50,$25,No Limit Hold'em
4610,,10:00am,Las Vegas,Caesars Palace,NLH,$100,$75,$25,No Limit Hold'em
4611,,10:05am,Las Vegas,South Point Casino,NLH,$60,$43,$17,No Limit Hold'em
4612,,11:00am,Las Vegas,Horseshoe Las Vegas,NLH,$75,$50,$25,No Limit Hold'em
4613,,11:00am,Las Vegas,MGM Grand,NLH,$100,$75,$25,No Limit Hold'em
4614,,11:00am,Las Vegas,Golden Nugget Las Vegas,HORSE,$250,$195,$55,Grand Poker Series Winter Classic - Event #18 - H.O.R.S.E.
4615,,11:05am,Las Vegas,The Orleans Casino,NLH,$150,$118,$32,No-Limit Hold'em Monster Stack
4616,,11:10am,Las Vegas,Venetian Casino,NLH,$500,$422,$78,Deepstack Showdown Jan '23 - Event #11 - No Limit Hold'em EpicStack
4617,,12:00pm,Las Vegas,Golden Nugget Las Vegas,NLH,day 2,$422,$78,Grand Poker Series Winter Classic - Event #17 - No Limit Hold'em
4618,,12:00pm,Las Vegas,Aria Casino,NLH,"$10,500","$10,000",$500,2023 PokerGO Cup - Event #4 - NLH PokerGO Cup #4
4619,,12:00pm,Las Vegas,Wynn Casino,NLH,$600,$520,$80,Wynn January Signature Series - Series Event - No Limit Hold'em
4620,,12:05pm,Las Vegas,Westgate Las Vegas Resort & Casino,NLH,$35,$22,$13,*Saturday $35 NLH w/add-on
4621,,12:05pm,Las Vegas,Resorts World Las Vegas,NLH,$160,$130,$30,"DAILY $160 NLH $3,000 GTD"
4622,,12:10pm,Las Vegas,Sahara Las Vegas,NLH,$60,$48,$12,$60 NLHE Daily
4623,,1:00pm,Las Vegas,Aria Casino,NLH,$240,$195,$45,No Limit Hold'em
4624,,1:00pm,Las Vegas,Golden Nugget Las Vegas,NLH,$250,$195,$55,Grand Poker Series Winter Classic - Event #19 - No Limit Hold'em
4625,,1:40pm,Las Vegas,Sahara Las Vegas,NLH,$60,$48,$12,OCPC
4626,,2:00pm,Las Vegas,Caesars Palace,NLH,$150,$115,$35,No Limit Hold'em
4627,,2:00pm,Las Vegas,Horseshoe Las Vegas,NLH,$160,$115,$45,No Limit Hold'em Saturday
4628,,2:00pm,Las Vegas,MGM Grand,NLH,$100,$75,$25,No Limit Hold'em Turbo
4629,,2:05pm,Las Vegas,South Point Casino,NLH,$60,$43,$17,No Limit Hold'em Turbo
4630,,2:10pm,Las Vegas,Venetian Casino,PLBigO/8,$400,$340,$60,Deepstack Showdown Jan '23 - Event #12 - Big O
4631,,4:00pm,Las Vegas,MGM Grand,PLO,$150,$120,$30,Double Board Bomb Pot PLO
4632,,4:00pm,Las Vegas,Sahara Las Vegas,NLCRPI,$60,$48,$12,$60 NL Crazy Pineapple
4633,,5:00pm,Las Vegas,Horseshoe Las Vegas,NLH,$75,$50,$25,No Limit Hold'em
4634,,6:00pm,Las Vegas,Caesars Palace,NLH,$100,$75,$25,No Limit Hold'em
4635,,6:05pm,Las Vegas,South Point Casino,NLH,$150,$118,$32,No Limit Hold'em Deep Stack
4636,,6:30pm,Las Vegas,Poker Palace Casino,NLH,$20,$10,$10,No Limit Hold'em
4637,,6:30pm,Las Vegas,Aria Casino,NLH,"$1,600","$1,500",$100,2023 PokerGO Cup - Satellite - PokerGo Cup Super Satellite
4638,,7:00pm,Las Vegas,MGM Grand,NLH,$100,$75,$25,No Limit Hold'em
4639,,7:00pm,Las Vegas,Wynn Casino,NLH,$400,$345,$55,Wynn January Signature Series - Series Event - No Limit Hold'em Turbo
4640,,7:05pm,Las Vegas,The Orleans Casino,NLH,$220,$188,$32,No Limit Hold'em Bounty
4641,,7:05pm,Las Vegas,Westgate Las Vegas Resort & Casino,NLH,$35,$22,$13,*Saturday $35 NLH w/add-on
4642,,7:05pm,Las Vegas,Resorts World Las Vegas,NLH,$160,$130,$30,"NIGHTLY $160 NLH $3,000 GTD"
4643,,8:00pm,Las Vegas,Horseshoe Las Vegas,NLH,$75,$50,$25,No Limit Hold'em
4644,,8:00pm,Las Vegas,Mandalay Bay,NLH,$150,$125,$25,No Limit Hold'em Saturday Night Classic
4645,,8:30pm,Las Vegas,Sahara Las Vegas,NLH,$60,$48,$12,$60 NLHE Daily
4646,,9:00pm,Las Vegas,Caesars Palace,NLH,$150,$115,$35,No Limit Hold'em
4647,,10:05pm,Las Vegas,South Point Casino,NLH,$60,$47,$13,No Limit Hold'em Turbo
4648,,11:00pm,Las Vegas,Horseshoe Las Vegas,NLH,$75,$50,$25,No Limit Hold'em
4649,,11:59pm,Las Vegas,MGM Grand,NLH,$100,$75,$25,Midnight Maddness Hyper Turbo
4650,(1/15),12:00am,Las Vegas,Caesars Palace,NLH,$100,$75,$25,No Limit Hold'em
4651,(1/15),9:00am,Las Vegas,Horseshoe Las Vegas,NLH,$75,$50,$25,No Limit Hold'em
4652,(1/15),10:00am,Las Vegas,Caesars Palace,NLH,$100,$75,$25,No Limit Hold'em
4653,(1/15),10:05am,Las Vegas,South Point Casino,NLH,$60,$43,$17,No Limit Hold'em
4654,(1/15),11:00am,Las Vegas,Horseshoe Las Vegas,NLH,$75,$50,$25,No Limit Hold'em
4655,(1/15),11:00am,Las Vegas,MGM Grand,NLH,$100,$75,$25,No Limit Hold'em
4656,(1/15),11:05am,Las Vegas,The Orleans Casino,NLH,$200,$148,$52,Sunday Special No-Limit Hold'em
4657,(1/15),11:10am,Las Vegas,Venetian Casino,NLH,$400,$333,$67,Deepstack Showdown Jan '23 - Event #13 - No Limit Hold'em EpicStack
4658,(1/15),12:00pm,Las Vegas,Wynn Casino,NLH,day 2,$333,$67,Wynn January Signature Series - Restart - No Limit Hold'em
4659,(1/15),12:00pm,Las Vegas,Wynn Casino,NLH,$400,$345,$55,Wynn January Signature Series - Series Event - No Limit Hold'em
4660,(1/15),12:05pm,Las Vegas,Westgate Las Vegas Resort & Casino,NLH,$35,$22,$13,*Sunday $35 NLH w/add-on
4661,(1/15),1:00pm,Las Vegas,Aria Casino,NLH,$160,$125,$35,No Limit Hold'em
4662,(1/15),1:10pm,Las Vegas,Sahara Las Vegas,NLH,$75,$65,$10,$75 NLHE Bounty
