Unique ID,Date Time,Venue,Postal Code,Game Type,Total buy in,Prize Pool,Rake,Prize Pool Ratio,Additional Info
0,1/26/2023 7:00:00 pm,Pensacola Greyhound Track,32506,NLH,120,85,35,0.7083333333333334,Thursday $120 DEEP STACK
1,1/27/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,400,325,75,0.8125,2023 Winter Open - Event #1 - No Limit Hold'em
2,1/27/2023 3:00:00 pm,bestbet Jacksonville,32225,NLH,100,75,25,0.75,Satellite into Event 1
3,1/27/2023 6:00:00 pm,bestbet Jacksonville,32225,NLH,400,325,75,0.8125,2023 Winter Open - Event #1 - No Limit Hold'em
4,1/27/2023 7:00:00 pm,bestbet St. Augustine,32084,NLH,160,125,35,0.78125,$160 NLH SIX HOUR IRON MAN
5,1/28/2023 12:00:00 pm,bestbet St. Augustine,32084,NLH,160,125,35,0.78125,$160 NLH
6,1/28/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,400,325,75,0.8125,2023 Winter Open - Event #1 - No Limit Hold'em
7,1/28/2023 1:00:00 pm,Pensacola Greyhound Track,32506,NLH,120,85,35,0.7083333333333334,Saturday $120 DEEP STACK
8,1/28/2023 6:00:00 pm,bestbet Jacksonville,32225,NLH,400,325,75,0.8125,2023 Winter Open - Event #1 - No Limit Hold'em
9,1/28/2023 7:00:00 pm,bestbet St. Augustine,32084,NLH,100,75,25,0.75,$100 NLH
10,1/29/2023 12:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
11,1/29/2023 1:00:00 pm,bestbet Jacksonville,32225,NLH,400,330,70,0.825,2023 Winter Open - Event #2 - No Limit Hold'em Bounty
12,1/29/2023 1:00:00 pm,Pensacola Greyhound Track,32506,NLH,120,85,35,0.7083333333333334,Sunday $120 DEEP STACK
13,1/29/2023 2:00:00 pm,Ebro Poker Room,32437,NLH,300,255,45,0.85,No-Limit Hold'em Deep Stack
14,1/29/2023 7:00:00 pm,bestbet St. Augustine,32084,NLH,140,110,30,0.7857142857142857,$140 NLH W/$25 BOUNTIES
15,1/30/2023 12:00:00 pm,bestbet St. Augustine,32084,NLH,60,40,20,0.6666666666666666,$60 NLH
16,1/30/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,300,240,60,0.8,2023 Winter Open - Event #3 - No Limit Hold'em
17,1/31/2023 12:00:00 pm,bestbet St. Augustine,32084,NLH,60,40,20,0.6666666666666666,$60 NLH
18,1/31/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,400,330,70,0.825,2023 Winter Open - Event #4 - No Limit Hold'em
19,1/31/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,80,57,23,0.7125,No-Limit Hold'em - 9-Handed
20,1/31/2023 7:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
21,1/31/2023 7:00:00 pm,Pensacola Greyhound Track,32506,NLH,120,85,35,0.7083333333333334,Tuesday $120 DEEP STACK
22,2/01/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,100,75,25,0.75,No-Limit Hold'em
23,2/01/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,300,240,60,0.8,2023 Winter Open - Event #5 - Ladies No Limit Hold'em
24,2/01/2023 1:00:00 pm,Pensacola Greyhound Track,32506,PLO,270,200,70,0.7407407407407407,Wednesday $270 PLO
25,2/01/2023 3:00:00 pm,bestbet Jacksonville,32225,NLH,400,330,70,0.825,2023 Winter Open - Event #6 - No Limit Hold'em Bounty
26,2/01/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,120,95,25,0.7916666666666666,"No-Limit Hold'em - 9-Handed ($3,000 Guaranteed)"
27,2/02/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,220,190,30,0.8636363636363636,"No-Limit Hold'em - 9-Handed ($6,000 Guaranteed)"
28,2/02/2023 7:00:00 pm,bestbet Orange Park,32073,NLH,100,75,25,0.75,No-Limit Hold'em
29,2/02/2023 7:00:00 pm,Pensacola Greyhound Track,32506,NLH,120,85,35,0.7083333333333334,Thursday $120 DEEP STACK
30,2/03/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,200,160,40,0.8,No-Limit Hold'em
31,2/04/2023 1:00:00 pm,Pensacola Greyhound Track,32506,NLH,120,85,35,0.7083333333333334,Saturday $120 DEEP STACK
32,2/05/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,200,160,40,0.8,No-Limit Hold'em
33,2/05/2023 12:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
34,2/05/2023 1:00:00 pm,Pensacola Greyhound Track,32506,NLH,120,85,35,0.7083333333333334,Sunday $120 DEEP STACK
35,2/06/2023 7:00:00 pm,bestbet Jacksonville,32225,NLH,100,75,25,0.75,No-Limit Hold'em
36,2/07/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,80,57,23,0.7125,No-Limit Hold'em - 9-Handed
37,2/07/2023 7:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
38,2/08/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,100,75,25,0.75,No-Limit Hold'em
39,2/08/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,120,95,25,0.7916666666666666,"No-Limit Hold'em - 9-Handed ($3,000 Guaranteed)"
40,2/09/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,220,190,30,0.8636363636363636,"No-Limit Hold'em - 9-Handed ($6,000 Guaranteed)"
41,2/09/2023 7:00:00 pm,bestbet Orange Park,32073,NLH,100,75,25,0.75,No-Limit Hold'em
42,2/10/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,200,160,40,0.8,No-Limit Hold'em
43,2/12/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,200,160,40,0.8,No-Limit Hold'em
44,2/12/2023 12:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
45,2/12/2023 2:00:00 pm,Ebro Poker Room,32437,NLH,300,255,45,0.85,No-Limit Hold'em Deep Stack
46,2/13/2023 7:00:00 pm,bestbet Jacksonville,32225,NLH,100,75,25,0.75,No-Limit Hold'em
47,2/14/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,80,57,23,0.7125,No-Limit Hold'em - 9-Handed
48,2/14/2023 7:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
49,2/15/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,100,75,25,0.75,No-Limit Hold'em
50,2/15/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,120,95,25,0.7916666666666666,"No-Limit Hold'em - 9-Handed ($3,000 Guaranteed)"
51,2/16/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,220,190,30,0.8636363636363636,"No-Limit Hold'em - 9-Handed ($6,000 Guaranteed)"
52,2/16/2023 7:00:00 pm,bestbet Orange Park,32073,NLH,100,75,25,0.75,No-Limit Hold'em
53,2/17/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,200,160,40,0.8,No-Limit Hold'em
54,2/19/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,200,160,40,0.8,No-Limit Hold'em
55,2/19/2023 12:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
56,2/19/2023 2:00:00 pm,Ebro Poker Room,32437,NLH,300,255,45,0.85,No-Limit Hold'em Deep Stack
57,2/20/2023 7:00:00 pm,bestbet Jacksonville,32225,NLH,100,75,25,0.75,No-Limit Hold'em
58,2/21/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,80,57,23,0.7125,No-Limit Hold'em - 9-Handed
59,2/21/2023 7:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
60,2/22/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,100,75,25,0.75,No-Limit Hold'em
61,2/22/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,120,95,25,0.7916666666666666,"No-Limit Hold'em - 9-Handed ($3,000 Guaranteed)"
62,2/23/2023 6:00:00 pm,Ebro Poker Room,32437,NLH,220,190,30,0.8636363636363636,"No-Limit Hold'em - 9-Handed ($6,000 Guaranteed)"
63,2/23/2023 7:00:00 pm,bestbet Orange Park,32073,NLH,100,75,25,0.75,No-Limit Hold'em
64,2/24/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,200,160,40,0.8,No-Limit Hold'em
65,2/26/2023 12:00:00 pm,bestbet Jacksonville,32225,NLH,200,160,40,0.8,No-Limit Hold'em
66,2/26/2023 12:00:00 pm,bestbet Orange Park,32073,NLH,60,40,20,0.6666666666666666,No-Limit Hold'em
